Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0245182,27724
2,0.066,0.0468958,24234
3,0.099,0.0674298,20744
4,0.132,0.0868588,17835
5,0.165,0.105421,15410
6,0.198,0.123071,13298
7,0.231,0.141373,11486
8,0.264,0.159443,9930
9,0.297,0.177619,8586
10,0.33,0.196356,7411
11,0.363,0.215699,6367
12,0.396,0.234254,5449
13,0.429,0.251501,4656
14,0.462,0.265704,3959
15,0.495,0.28022,3338
16,0.528,0.293525,2785
17,0.561,0.306324,2282
18,0.594,0.316269,1847
19,0.627,0.325097,1455
20,0.66,0.333279,1117
21,0.693,0.338824,831
22,0.726,0.343081,578
23,0.759,0.348426,355
24,0.792,0.359192,162
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
